date,neta_quantity,cumulative
2022-01-05,0.200002,0.200002
2022-01-06,0.158331,0.358333
2022-01-07,0.101346,0.459679
2022-01-08,0.300031,0.75971
2022-01-09,0.553074007,1.312784007
2022-01-10,0.0320075,1.344791507
2022-01-11,0.003092,1.347883507
2022-01-12,0.011314999,1.359198506
2022-01-13,0.025353001,1.384551507
2022-01-14,1.21901,2.603561507
2022-01-15,0.114112,2.717673507
2022-01-16,17.855079999,20.572753506
2022-01-17,0.276982999,20.849736505000003
2022-01-18,0.00216,20.851896505000003
2022-01-19,0.75232,21.604216505000004
2022-01-20,0.6198450999999999,22.224061605000003
2022-01-21,0.07051,22.294571605000005
2022-01-22,0.256163,22.550734605000006
2022-01-23,0.06934560000000001,22.620080205000004
2022-01-24,2.4069532000000002,25.027033405000005
2022-01-25,1.092954999,26.119988404000008
2022-01-26,5.5207288,31.64071720400001
2022-01-27,0.8762941,32.51701130400001
2022-01-28,1.7203648549939998,34.23737615899401
2022-01-29,2.05752554061,36.29490169960401
2022-01-30,2.200486022781,38.49538772238501
2022-01-31,1.721305565783,40.21669328816801
2022-02-01,1.347769843971,41.56446313213901
2022-02-02,1.655879554357,43.22034268649601
2022-02-03,1.3442382756,44.56458096209602
2022-02-04,2.555576089054,47.12015705115002
